Noun,SV_Simple_s,SV_Simple_p,SV_SubjRelClause_s,SV_SubjRelClause_p,SV_SentComp_s,SV_SentComp_p,SV_PP_s,SV_PP_p,SV_ObjRelClauseThat_s,SV_ObjRelClauseThat_p,SV_ObjRelClauseNoThat_s,SV_ObjRelClauseNoThat_p,RA_Simple_s,RA_Simple_p,RA_SentComp_s,RA_SentComp_p,RA_ObjRelClauseThat_s,RA_ObjRelClauseThat_p,RA_ObjRelClauseNoThat_s,RA_ObjRelClauseNoThat_p,wikitext_s_freq,wikitext_p_freq,webtext_s_freqs,webtext_p_freqs
associate,0.07018957095809304,0.1950978596014231,0.5458935932477155,0.19611725224394339,-0.9269583082487403,0.885049766110509,0.7313596743269364,1.1985146130008992,1.306167248612626,0.3892121218067594,0.3150710625952561,0.3870458514554128,0.11971580766879357,-1.0477209785156156,0.19620860989081954,-1.1382437865630886,0.26749118559782903,-0.6305176402982443,-0.42795532612110443,-1.655307021548198,1675,1268,161000,55860
astronaut,0.18855583973766432,0.12253484174606469,0.9474579956974554,-0.8934447209084103,-0.38643611978815495,-1.1713840618218683,1.0433547859842425,1.2037919409720879,0.46764998138068803,-0.23166634933114016,0.7996218836787077,-0.5988979021154011,1.0359382512514854,0.7792000151067161,0.8899542880639015,0.7255157073354028,0.7288266488605225,-0.10195718598751895,0.9803663009008508,-0.05773670981881772,433,438,28563,39886
athlete,1.3510631044876575,-0.16589503399173758,1.1783542763748995,1.1240006223525028,1.361241904208112,-0.4463310822611313,0.9717166110241261,0.6959667942621046,1.925871498830126,1.371185936166945,2.4319809499142986,0.6695197581189969,0.30470070483751543,1.5581144690214894,0.6786526832891938,1.9436053137355638,-0.4247919587654495,1.3220638891597263,0.30717839155169824,1.1712836547736527,1335,2410,58866,116006
attraction,0.6405935460406171,-0.5026665110899853,-0.20920652787263183,0.3358800974378767,2.970090408283225,0.293721749795841,-1.3669186941624243,-1.193632695109897,-0.5616359315810524,-0.8585331862219977,0.40015861942434705,-0.8506471294613746,-2.2157228547437917,-0.09811780357937476,-2.4054942478459154,0.18117402095137453,-1.8690707561854343,-1.2559195506179992,-2.011881547136513,-1.1818591358063344,1582,735,52751,22535
author,1.4695684416025312,1.78619539717347,0.2571524361654015,-0.8751127576017455,1.1058885689999653,0.6051964178499567,0.05767428610711339,0.7112796654300395,-1.1157815764455226,-2.921603146639643,-0.7817614313745421,-3.0071592415433113,0.8320229226938173,0.049301342379195104,0.5633295240351053,0.4462013938317996,0.7805898436958267,-1.0396932610240701,0.590984481487567,-1.5353133611677183,7640,3461,463215,225163
authority,0.309402657368284,0.1917058423875541,2.3336210251170115,-0.7682188288657765,0.3563018899512689,-0.43588071492825453,0.3378339185967906,-0.10393320704308398,0.4414531764119129,-2.6542200594610783,1.2414318765027326,-1.0003960761184323,-1.6601269272517722,-2.610689407038416,-2.0532316477953074,-2.0031334182416582,-1.8095139737286994,-2.1707100560106176,-1.7838062944752489,-1.4011658845280135,7524,5340,381264,501897
automaton,0.5711438173607641,-3.7574980935354145,-0.2530214393911155,0.460499089419368,1.2036486068105203,-4.948067982117932,0.30434974128289793,-0.531186512842464,0.108080748424183,0.5239715611260971,-0.0034244530852028804,1.0577714823247286,0.25304277294316246,0.833298601973096,-0.4727684628230653,-0.449747409515428,0.4495987354071666,0.4436527730923306,0.5529842009298739,-0.026386531840777938,39,43,3080,3462
baby,0.01712461123715717,0.6510287281558088,0.4842136436002725,-1.4057917614346294,0.5641741696202767,0.301909846440198,-0.3996955032444377,0.10241273409109967,1.2118659929811477,0.3394151477902193,0.9934409974616543,0.3601101664607096,-0.2720353064497847,1.4686959648443767,-0.11729762205156945,1.7618191667843728,-0.08885533555004639,1.5859987473733161,-0.03512450272235566,1.4271214364041356,4303,480,297082,89352
balance,-0.37365337625304207,-1.1495588059067792,0.507676688496852,1.4655959574187092,0.6678981728288077,-0.635421804566868,-0.9527094665833462,-3.6952761813690147,-0.18477795404346287,0.5213011351717307,0.019961947514117562,0.4449538487065261,-2.385625734421775,-0.7442705496282086,-2.658990305612268,0.6640814340267365,-2.339134960233414,-1.0636478830004217,-2.3141091041128434,-1.2995573521889874,2775,122,328654,26376
banker,0.7065090772874473,0.2357184509206169,0.8106023290406881,0.46974856513491475,-0.09076517605617551,-0.13861600421167777,0.9838206178955939,0.418750344569829,0.7672469198820018,-0.3816702181361061,1.1278096559586408,-0.8331064552937638,1.102288311720875,0.664312518645542,0.9302293194371996,-0.06363263237209314,1.227046119985318,0.7509846210072122,1.3386314175714613,0.7989787598518461,372,252,22058,45232
barbarian,-0.04260473590884299,-0.6898510278122537,0.07449412456038816,-1.1893074049853691,0.19010874608829312,-1.1996286958635927,1.2366300922074633,-0.3997178489067292,-0.48503832216804427,0.0911372468484493,-0.8742230003821425,-0.7892479325532,1.1175440543348476,0.07159935665044752,0.9422836936109892,-0.31887886495660506,0.982223556723097,0.5320951736347321,0.5855208958126223,0.37953934544975404,318,163,8538,5867
beast,1.0168620646291264,-0.7361565465894606,0.1256322638981067,-0.44091551925447814,1.2363844863004085,-0.3199741582795369,0.5843584973495901,-0.023069176354123533,0.07093653339944722,-0.07805386240681174,0.37709705961814577,0.14495041587698554,0.13977810160335735,0.1888430615562111,-0.3540699406839802,0.3037134293540801,0.10996541010991187,0.08603353251481813,0.006493241802842997,0.39006508822419317,1214,238,77081,21937
beater,-0.7517210411841461,-0.1607627959191347,-1.4348721001523888,-0.2646286516122703,0.41422866062278507,0.18025598697351192,-0.5646776014972119,-0.10690617909485998,0.09716049747721256,0.16488469639080486,0.9818203434345971,-0.21275702464864477,0.20889377862050035,-1.4930734884873365,0.34032920245832377,-1.0315147684605837,-0.5589010351084113,-0.7269467615612375,-0.26622242318115574,-0.9546764779607217,46,11,2111,1081
beginner,-0.8628910924283857,-1.0577344578837966,1.7806745707408025,-1.3808172198579496,-0.18157985482576977,-0.8733536823916896,-0.5620408421442533,-1.4605832713581275,-0.14878729195044452,-0.5504539391897186,-0.5566997345629037,-1.4052937895560913,-0.4864959158071611,0.1324847012263004,-0.15583497006476682,0.35352180936900673,-0.1381532319999282,-0.22461509131444607,-0.7240644337542743,-0.06534264236300258,59,78,14917,14870
